Corinthians,GolCorinthians ,vs,GolAdv,ADV,Corinthians_Vitoria
CORINTHIANS,2,versus,2,CORITIBA,0
CORINTHIANS,1,versus,0,CEARÁ,1
CORINTHIANS,2,versus,1,FLAMENGO,1
CORINTHIANS,0,versus,0,GOIÁS,0
CORINTHIANS,0,versus,2,FLUMINENSE,0
CORINTHIANS,1,versus,0,SANTOS,1
CORINTHIANS,1,versus,1,FLAMENGO,0
CORINTHIANS,0,versus,0,FLAMENGO,0
CORINTHIANS,2,versus,1,ATHLETICO-PR,1
CORINTHIANS,2,versus,2,JUVENTUDE,0
CORINTHIANS,2,versus,0,CUIABÁ,1
CORINTHIANS,2,versus,1,ATLÉTICO-GO,1
CORINTHIANS,0,versus,1,AMÉRICA-MG,0
CORINTHIANS,3,versus,0,FLUMINENSE,1
CORINTHIANS,1,versus,1,SÃO PAULO,0
CORINTHIANS,2,versus,2,INTERNACIONAL,0
CORINTHIANS,1,versus,0,RED BULL BRAGANTINO,1
CORINTHIANS,2,versus,2,FLUMINENSE,0
CORINTHIANS,0,versus,1,FORTALEZA,0
CORINTHIANS,4,versus,1,ATLÉTICO-GO,1
CORINTHIANS,0,versus,1,PALMEIRAS,0
CORINTHIANS,0,versus,1,FLAMENGO,0
CORINTHIANS,1,versus,1,AVAÍ,0
CORINTHIANS,0,versus,2,FLAMENGO,0
CORINTHIANS,1,versus,0,BOTAFOGO,1
CORINTHIANS,0,versus,2,ATLÉTICO-GO,0
CORINTHIANS,2,versus,1,ATLÉTICO-MG,1
CORINTHIANS,3,versus,1,CORITIBA,1
CORINTHIANS,1,versus,3,CEARÁ,0
CORINTHIANS,0,versus,1,SANTOS,0
CORINTHIANS,1,versus,0,FLAMENGO,1
CORINTHIANS,0,versus,0,BOCA JUNIORS,0
CORINTHIANS,0,versus,4,FLUMINENSE,0
CORINTHIANS,0,versus,0,BOCA JUNIORS,0
CORINTHIANS,0,versus,0,SANTOS,0
CORINTHIANS,4,versus,0,SANTOS,1
CORINTHIANS,1,versus,0,GOIÁS,1
CORINTHIANS,1,versus,1,ATHLETICO-PR,0
CORINTHIANS,2,versus,0,JUVENTUDE,1
CORINTHIANS,0,versus,1,CUIABÁ,0
CORINTHIANS,1,versus,0,ATLÉTICO-GO,1
CORINTHIANS,1,versus,1,AMÉRICA-MG,0
CORINTHIANS,1,versus,1,ALWAYS READY,0
CORINTHIANS,1,versus,1,SÃO PAULO,0
CORINTHIANS,1,versus,1,BOCA JUNIORS,0
CORINTHIANS,2,versus,2,INTERNACIONAL,0
CORINTHIANS,2,versus,0,PORTUGUESA-RJ,1
CORINTHIANS,1,versus,0,RED BULL BRAGANTINO,1
CORINTHIANS,0,versus,0,DEPORTIVO CALI,0
CORINTHIANS,1,versus,0,FORTALEZA,1
CORINTHIANS,2,versus,0,BOCA JUNIORS,1
CORINTHIANS,0,versus,3,PALMEIRAS,0
CORINTHIANS,1,versus,1,PORTUGUESA-RJ,0
CORINTHIANS,3,versus,0,AVAÍ,1
CORINTHIANS,1,versus,0,DEPORTIVO CALI,1
CORINTHIANS,3,versus,1,BOTAFOGO,1
CORINTHIANS,0,versus,2,ALWAYS READY,0
CORINTHIANS,1,versus,2,SÃO PAULO,0
CORINTHIANS,1,versus,1,GUARANI,0
CORINTHIANS,1,versus,0,NOVORIZONTINO,1
CORINTHIANS,1,versus,2,PALMEIRAS,0
CORINTHIANS,5,versus,0,PONTE PRETA,1
CORINTHIANS,0,versus,1,SÃO PAULO,0
CORINTHIANS,1,versus,0,RED BULL BRAGANTINO,1
CORINTHIANS,1,versus,1,BOTAFOGO-SP,0
CORINTHIANS,3,versus,0,SÃO BERNARDO FC,1
CORINTHIANS,2,versus,1,MIRASSOL,1
CORINTHIANS,3,versus,2,ITUANO,1
CORINTHIANS,1,versus,2,SANTOS,0
CORINTHIANS,1,versus,0,SANTO ANDRÉ,1
CORINTHIANS,0,versus,0,FERROVIÁRIA,0
CORINTHIANS,0,versus,1,JUVENTUDE,0
CORINTHIANS,1,versus,1,GRÊMIO,0
CORINTHIANS,1,versus,0,ATHLETICO-PR,1
CORINTHIANS,1,versus,2,CEARÁ,0
CORINTHIANS,2,versus,0,SANTOS,1
CORINTHIANS,0,versus,1,FLAMENGO,0
CORINTHIANS,3,versus,2,CUIABÁ,1
CORINTHIANS,0,versus,3,ATLÉTICO-MG,0
CORINTHIANS,1,versus,0,FORTALEZA,1
CORINTHIANS,1,versus,0,CHAPECOENSE,1
CORINTHIANS,2,versus,2,INTERNACIONAL,0
CORINTHIANS,0,versus,1,SÃO PAULO,0
CORINTHIANS,1,versus,0,FLUMINENSE,1
CORINTHIANS,0,versus,1,SPORT,0
CORINTHIANS,3,versus,1,BAHIA,1
CORINTHIANS,2,versus,2,RED BULL BRAGANTINO,0
CORINTHIANS,2,versus,1,PALMEIRAS,1
CORINTHIANS,1,versus,1,AMÉRICA-MG,0
CORINTHIANS,1,versus,1,ATLÉTICO-GO,0
CORINTHIANS,1,versus,1,JUVENTUDE,0
CORINTHIANS,1,versus,0,GRÊMIO,1
CORINTHIANS,1,versus,0,ATHLETICO-PR,1
CORINTHIANS,3,versus,1,CEARÁ,1
CORINTHIANS,0,versus,0,SANTOS,0
CORINTHIANS,1,versus,3,FLAMENGO,0
CORINTHIANS,2,versus,1,CUIABÁ,1
CORINTHIANS,1,versus,2,ATLÉTICO-MG,0
CORINTHIANS,0,versus,1,FORTALEZA,0
CORINTHIANS,1,versus,0,CHAPECOENSE,1
CORINTHIANS,1,versus,1,INTERNACIONAL,0
CORINTHIANS,0,versus,0,SÃO PAULO,0
CORINTHIANS,1,versus,1,FLUMINENSE,0
CORINTHIANS,2,versus,1,SPORT,1
CORINTHIANS,0,versus,0,BAHIA,0
CORINTHIANS,1,versus,2,RED BULL BRAGANTINO,0
CORINTHIANS,1,versus,1,PALMEIRAS,0
CORINTHIANS,0,versus,0,ATLÉTICO-GO,0
CORINTHIANS,1,versus,0,AMÉRICA-MG,1
CORINTHIANS,0,versus,2,ATLÉTICO-GO,0
CORINTHIANS,0,versus,1,ATLÉTICO-GO,0
CORINTHIANS,4,versus,0,RIVER PLATE-PAR,1
CORINTHIANS,5,versus,0,SPORT HUANCAYO,1
CORINTHIANS,0,versus,2,PALMEIRAS,0
CORINTHIANS,0,versus,4,PEÑAROL,0
CORINTHIANS,4,versus,1,INTER DE LIMEIRA,1
